"Supplementary Table 3. Genbank accessions of Klebsiella pneumoniae. The associated Illumina reads were processed by the PathogenSurveillance pipeline for validation used in Figure 4A, B.",,,,,
Sample_ID,NCBI accession,Bioproject,Species,Kingdom,Sequence type
ERR025596,ERR025596,PRJEB2111,Klebsiella pneumoniae,Bacteria,Illumina
ERR025597,ERR025597,PRJEB2111,Klebsiella pneumoniae,Bacteria,Illumina
ERR025599,ERR025599,PRJEB2111,Klebsiella pneumoniae,Bacteria,Illumina
ERR025600,ERR025600,PRJEB2111,Klebsiella pneumoniae,Bacteria,Illumina
ERR025601,ERR025601,PRJEB2111,Klebsiella pneumoniae,Bacteria,Illumina
ERR025602,ERR025602,PRJEB2111,Klebsiella pneumoniae,Bacteria,Illumina
ERR025605,ERR025605,PRJEB2111,Klebsiella pneumoniae,Bacteria,Illumina
ERR025607,ERR025607,PRJEB2111,Klebsiella pneumoniae,Bacteria,Illumina
ERR025608,ERR025608,PRJEB2111,Klebsiella pneumoniae,Bacteria,Illumina
ERR025609,ERR025609,PRJEB2111,Klebsiella pneumoniae,Bacteria,Illumina
ERR025610,ERR025610,PRJEB2111,Klebsiella pneumoniae,Bacteria,Illumina
ERR025612,ERR025612,PRJEB2111,Klebsiella pneumoniae,Bacteria,Illumina
ERR025613,ERR025613,PRJEB2111,Klebsiella pneumoniae,Bacteria,Illumina
ERR025614,ERR025614,PRJEB2111,Klebsiella pneumoniae,Bacteria,Illumina
ERR025618,ERR025618,PRJEB2111,Klebsiella pneumoniae,Bacteria,Illumina
ERR025620,ERR025620,PRJEB2111,Klebsiella pneumoniae,Bacteria,Illumina
ERR025621,ERR025621,PRJEB2111,Klebsiella pneumoniae,Bacteria,Illumina
ERR025624,ERR025624,PRJEB2111,Klebsiella pneumoniae,Bacteria,Illumina
ERR025625,ERR025625,PRJEB2111,Klebsiella pneumoniae,Bacteria,Illumina
ERR025627,ERR025627,PRJEB2111,Klebsiella pneumoniae,Bacteria,Illumina
ERR025628,ERR025628,PRJEB2111,Klebsiella pneumoniae,Bacteria,Illumina
ERR025629,ERR025629,PRJEB2111,Klebsiella pneumoniae,Bacteria,Illumina
ERR025633,ERR025633,PRJEB2111,Klebsiella pneumoniae,Bacteria,Illumina
ERR025634,ERR025634,PRJEB2111,Klebsiella pneumoniae,Bacteria,Illumina
ERR025635,ERR025635,PRJEB2111,Klebsiella pneumoniae,Bacteria,Illumina
ERR025637,ERR025637,PRJEB2111,Klebsiella pneumoniae,Bacteria,Illumina
ERR025638,ERR025638,PRJEB2111,Klebsiella pneumoniae,Bacteria,Illumina
ERR025639,ERR025639,PRJEB2111,Klebsiella pneumoniae,Bacteria,Illumina
ERR025641,ERR025641,PRJEB2111,Klebsiella pneumoniae,Bacteria,Illumina
ERR025644,ERR025644,PRJEB2111,Klebsiella pneumoniae,Bacteria,Illumina
ERR025645,ERR025645,PRJEB2111,Klebsiella pneumoniae,Bacteria,Illumina
ERR025646,ERR025646,PRJEB2111,Klebsiella pneumoniae,Bacteria,Illumina
ERR025647,ERR025647,PRJEB2111,Klebsiella pneumoniae,Bacteria,Illumina
ERR025648,ERR025648,PRJEB2111,Klebsiella pneumoniae,Bacteria,Illumina
